f,l,l0
114.0,-5.302289413045788,-7.552368576141561
115.0,-4.231937309717971,-5.940427291054206
116.0,-2.7854329461406624,-3.9753475715944364
117.0,-0.9111577689789421,-1.657755538923067
118.0,1.0264456158915471,0.5805908116170365
119.0,1.5905110243064804,1.204806867722204
120.0,0.10998911856063348,-0.5117507792747088
121.0,-1.8588415118169705,-2.9456142454141085
122.0,-3.437366651985827,-5.146831540333082
123.0,-4.554520518807937,-6.9812232523915805
124.0,-5.315949460393176,-8.501084774491112
125.0,-5.826799183557404,-9.772832728574693
126.0,-6.164766443893615,-10.849667682925137
127.0,-6.383087556132628,-11.771322684096557
128.0,-6.51747998651615,-12.567412428674638
129.0,-6.591901688704564,-13.260351000171035
130.0,-6.622567813806626,-13.867429170526053
131.0,-6.620596339778327,-14.402234056523797
132.0,-6.593719495351603,-14.875620277391752
133.0,-6.547389986977731,-15.2963844673197
134.0,-6.485501501957428,-15.671743259114479
135.0,-6.410863523327398,-16.007679258013436
136.0,-6.325518512355308,-16.309196672792332
137.0,-6.23095680100764,-16.580513845578324
138.0,-6.1282642104760585,-16.825210791591903
139.0,-6.018224784029087,-17.046344017857148
140.0,-5.901393126162185,-17.24653709561639
141.0,-5.778145852330107,-17.428052955096597
142.0,-5.648718465034822,-17.59285218634801
143.0,-5.513231907080527,-17.742640476285636
144.0,-5.371711687395129,-17.87890750781684
145.0,-5.224101572905818,-18.002959076193264
146.0,-5.070273231425632,-18.1159437657019
147.0,-4.910032794013347,-18.218875227505784
148.0,-4.743125015845381,-18.312650874256434
149.0,-4.569235510080322,-18.39806763700212
150.0,-4.387991381693772,-18.47583529978624
151.0,-4.198960479189806,-18.54658782663159
152.0,-4.001649398742785,-18.610893016878805
153.0,-3.795500308789265,-18.66926076273042
154.0,-3.579886606918558,-18.72215013344135
155.0,-3.3541073701785447,-18.76997547100656
156.0,-3.1173805105940913,-18.813111650270624
157.0,-2.8688344961980317,-18.851898630487934
158.0,-2.607498440679338,-18.88664540424832
159.0,-2.3322902981023756,-18.917633432386655
160.0,-2.0420028187642445,-18.94511963926493
161.0,-1.735286823063227,-18.96933903106305
162.0,-1.410631226153737,-18.99050698996993
163.0,-1.066339089911192,-19.008821289064038
164.0,-0.7004987820676355,-19.024463865909922
165.0,-0.310949076880433,-19.037602387237243
166.0,0.10476326882220949,-19.048391632320442
167.0,0.5494352839141359,-19.056974718679275
168.0,1.026271097885116,-19.063484190348362
169.0,1.5389593395451584,-19.0680429861117
170.0,2.091767244315313,-19.07076530267952
171.0,2.689653456942188,-19.071757365731358
172.0,3.338399038817802,-19.071118119996672
173.0,4.0447492961853335,-19.068939848053947
174.0,4.816541752102411,-19.06530872624885
175.0,5.662753817477363,-19.060305325039973
176.0,6.5933039541175,-19.05400506013759
177.0,7.618202064930577,-19.046478599995226
178.0,8.745079680100705,-19.037792234513905
179.0,9.972832971668847,-19.02800820921818
180.0,11.276488471934217,-19.017185028641737
181.0,12.575339621533264,-19.00537773220859
182.0,13.684731515108837,-18.992638145504003
183.0,14.30997922139401,-18.97901510948804
184.0,14.21486597752757,-18.964554689907377
185.0,13.463635846523074,-18.94930036890259
186.0,12.347701694742359,-18.933293220579973
187.0,11.127859718212571,-18.9165720721198
188.0,9.943921601802097,-18.89917365181835
189.0,8.850442895666355,-18.881132725308618
190.0,7.860797005676888,-18.862482221068763
191.0,6.971719921875229,-18.843253346211778
192.0,6.174304661460944,-18.823475693441566
193.0,5.4584821543643525,-18.80317733997252
194.0,4.8147014306026295,-18.782384939123816
195.0,4.23445915489872,-18.76112380523064
196.0,3.7103750841778593,-18.73941799244851
197.0,3.236102378061817,-18.71729036797013
198.0,2.806190596144233,-18.69476268012381
