x1,y1,x2,y2,x3,y3,x4,y4
2.5486346344246333e-10,9.137443805502736e-08,4.1599576044104963e-13,1.2628939787436428e-07,2.852010474387852e-16,1.7393177200341486e-07,8.186945485045096e-20,2.3870514415108544e-07
3.8557781378821237e-10,1.2972081188954342e-07,6.930804440716363e-13,1.8339981651890462e-07,5.282933983814765e-16,2.5822225882621804e-07,1.702163384765234e-19,3.6207227770040854e-07
5.809057663157763e-10,1.8339981651890462e-07,1.1491250951059192e-12,2.650633931166324e-07,9.731211613929082e-16,3.812598395239982e-07,3.5164604308542324e-19,5.457760483956391e-07
8.715440356540781e-10,2.5822225882621566e-07,1.8960098656728795e-12,3.812598395239982e-07,1.78248929915648e-15,5.598389452093115e-07,7.21831656710578e-19,8.175642990926483e-07
1.302158359576685e-09,3.6207227770040854e-07,3.1131798485980805e-12,5.457760483956391e-07,3.2468024065284722e-15,8.175642990926559e-07,1.4722866743569823e-18,1.217083169851839e-06
1.9374474796709096e-09,5.055976074777483e-07,5.086966715743988e-12,7.775560367662815e-07,5.881042916455546e-15,1.187407199205609e-06,2.983841069634291e-18,1.8005792303797662e-06
2.870705295659587e-09,7.031115695908232e-07,8.271902414225292e-12,1.1024896034467761e-06,1.0593099824715165e-14,1.7151363298840892e-06,6.008781884915909e-18,2.6472851013169992e-06
4.2358513760274154e-09,9.737654902645005e-07,1.3385805279994689e-11,1.5557675774024785e-06,1.8974165779754025e-14,2.463889183842439e-06,1.2023343392572681e-17,3.8680196232227356e-06
6.224251995650966e-09,1.343064479000541e-06,2.1556437707928112e-11,2.1849637205508466e-06,3.379667124131067e-14,3.520219039594644e-06,2.3905220252429e-17,5.616673658968463e-06
9.108123633696598e-09,1.8448165669678663e-06,3.45464710188516e-11,3.054041978806786e-06,5.986286440366064e-14,5.002034972068818e-06,4.722691530685299e-17,8.105419663411762e-06
1.3272934030223169e-08,2.523625474676152e-06,5.509668030529323e-11,4.248533624416492e-06,1.0544212014682182e-13,7.068949923600664e-06,9.270782752486561e-17,1.1624678992538366e-05
1.9262037509365446e-08,3.438061129781541e-06,8.744663127209483e-11,5.882182604007739e-06,1.8469051595827002e-13,9.935665429180772e-06,1.8083142358586495e-16,1.656910610422893e-05
2.7837857804700614e-08,4.664669840981784e-06,1.3812030580454882e-10,8.105419663411762e-06,3.216989683741361e-13,1.3889151618967097e-05,3.5047961960295127e-16,2.3471102081714836e-05
4.0065333270967784e-08,6.303018056427261e-06,2.1710493111042635e-10,1.1116096898105787e-05,5.572244349212144e-13,1.9310527244767973e-05,6.749688382787818e-16,3.3043647576178006e-05
5.742515262511676e-08,8.482000117494377e-06,3.3961001739966574e-10,1.517299428026348e-05,9.59813538417024e-13,2.6702705213538342e-05,1.2916281435050713e-15,4.623454038014234e-05
8.196663978545301e-08,1.1367681463073276e-05,5.286776006181404e-10,2.0612697986124355e-05,1.6440713925160857e-12,3.672504152531179e-05,2.4559801586534895e-15,6.429442444986297e-05
1.16513121525525e-07,1.517299428026348e-05,8.19034011364605e-10,2.7870545938938895e-05,2.8004796870972346e-12,5.0236404854140573e-05,4.640305387806513e-15,8.886128952738446e-05
1.6493638405019722e-07,2.0169652348033867e-05,1.2627419101003051e-09,3.750643708894414e-05,4.74376351943166e-12,6.834826334058423e-05,8.711710318376082e-15,0.00012206438230201131
2.3252157456044037e-07,2.670270521353814e-05,1.9374474796709096e-09,5.0236404854140147e-05,7.990857880962667e-12,9.248955500931333e-05,1.625160515675967e-14,0.00016665067401318588
3.2644984201332465e-07,3.520820796350598e-05,2.9583465894904304e-09,6.697095805025427e-05,1.3385805279994931e-11,0.00012448525628328628,3.0124921003335953e-14,0.00022613714202877435
4.564333803319829e-07,4.623454038014198e-05,4.4954488099627335e-09,8.88612895273851e-05,2.229858459141015e-11,0.00016665067401318702,5.548725713918163e-14,0.000304992104741828
6.355466129100172e-07,6.046796639823452e-05,6.798343454413149e-09,0.00011735453724052353,3.6939651498784044e-11,0.00022190354188978537,1.0155450105431443e-13,0.00040884865544073723
8.813083472129684e-07,7.876307916348172e-05,1.0231525122486726e-08,0.00015425934682323033,6.085440624943114e-11,0.00029389598076903214,1.846905159582681e-13,0.0005447528232836081
1.217083169851828e-06,0.00010217882569529748,1.532449251189379e-08,0.000201823019680586,9.969561814499527e-11,0.0003871682605506158,3.337570564265433e-13,0.0007214483984848392
1.673886506873027e-06,0.00013202084461684234,2.2842390033223986e-08,0.0002628215255717574,1.6242243468742164e-10,0.00050732605331138,5.993185726512346e-13,0.0009496993465482652
2.2926970173863903e-06,0.00016989087642631568,3.388503992943214e-08,0.00034066360182283327,2.6314977283083175e-10,0.0006612424672738695,1.0693686243241526e-12,0.0012426493611546524
3.12740269916412e-06,0.00021774401351876333,5.0024968222977317e-08,0.00043951004001466584,4.239827505408698e-10,0.0008572855736133367,1.8960098656728512e-12,0.00161621633645166
4.248533624416454e-06,0.00027795454123024114,7.349865442858815e-08,0.0005644090621029734,6.793331159369518e-10,0.0011055713605423996,3.3403983973221575e-12,0.002089517362969897
5.747964914430777e-06,0.0003533910757018309,1.0746997148660527e-07,0.0007214483984848392,1.0824504753058842e-09,0.0014182410540237588,5.847921795140112e-12,0.0026853172758079373
7.744808654577217e-06,0.00044750162317042146,1.5639092024829205e-07,0.0009179242884923092,1.715241271075374e-09,0.0018097605218569067,1.0173059677083411e-11,0.003430490846280475
1.0392753090037528e-05,0.0005644090621029696,2.2649265318452213e-07,0.0011625271189867948,2.70293533356218e-09,0.0022972380280679734,1.7585290251254598e-11,0.0043564854800283905
1.3889151618966992e-05,0.0007090173782861446,3.2644984201332465e-07,0.0014655427918786946,4.235851376027444e-09,0.0029007549408815152,3.0206235578049764e-11,0.005499767874847437
1.848621260126278e-05,0.0008871287579516967,4.682741620771407e-07,0.0018390681633143732,6.601487441193841e-09,0.0036437021491426227,5.1557758252988724e-11,0.006902234649716754
2.450469335337645e-05,0.0011055713605423925,6.685086049089048e-07,0.0022972380280679734,1.0231525122486726e-08,0.004553112955866677,8.744663127209483e-11,0.008611563672165114
3.2350557103145395e-05,0.0013723372474275582,9.498141249216357e-07,0.0028564601409675635,1.5770226767056196e-08,0.005659981160036245,1.473822223245732e-10,0.010681479910024506
4.253510894219671e-05,0.0016967295342070095,1.343064479000541e-06,0.0035356536892161266,2.4173305788323954e-08,0.006999550995256687,2.46831988722167e-10,0.013171907370619315
5.5699184287214256e-05,0.002089517362969897,1.8900947855664877e-06,0.0043564854800283905,3.684989922580462e-08,0.008611563672165161,4.107839989381012e-10,0.016148977338039962
