x,p1,p2
-0.03768844221105527,-17.93495525985787,-97.04421315608596
-0.03266331658291455,-17.964490048924976,-97.75473280862869
-0.027638190954773878,-17.99901552988754,-101.24117440474035
-0.022613065326633153,-17.996934450101566,-104.56211598504362
-0.017587939698492483,-17.969193276342445,-101.38448168563541
-0.012562814070351758,-17.95673025434801,-99.39670911778907
-0.007537688442211032,-17.97528946461883,-99.97584197879891
-0.0025125628140703626,-17.99936705518727,-102.75466950161078
0.002512562814070307,-18.000162010884296,-104.68201691085278
0.007537688442211032,-17.98165269128775,-102.28035368692345
0.012562814070351758,-17.97141840016107,-100.64243839290016
0.017587939698492483,-17.98313506760516,-101.08191154747595
0.022613065326633208,-18.00048307098987,-103.20181758282234
0.027638190954773822,-18.001288077642894,-104.54478118164445
0.03266331658291455,-17.98661948748279,-102.9353981087027
0.03768844221105527,-17.97757771231393,-101.6544033547209
0.042713567839196,-17.986374209483106,-102.01930058152959
0.047738693467336724,-18.00070404562211,-103.63501386807782
0.05276381909547745,-18.001711001713137,-104.4401574361052
0.05778894472361806,-17.989683473598227,-103.22683947420597
0.06281407035175879,-17.98292818820498,-102.31254398116366
0.06783919597989951,-17.991722503392047,-102.78789330214096
0.07286432160804024,-18.003001637545307,-104.2595454710995
0.07788944723618096,-17.998032907341056,-104.74658505794937
0.08291457286432158,-17.979490884126655,-103.48080304962666
0.0879396984924623,-17.9704946508681,-102.58779487905872
0.09296482412060303,-17.983862363791996,-102.97849185228607
0.09798994974874375,-18.001844362408892,-104.26062970302758
0.10301507537688448,-17.997376547816785,-104.73197139217135
0.1080402010050251,-17.97134911436292,-103.6675703948005
0.11306532663316582,-17.95591299143974,-102.83179690383948
0.11809045226130654,-17.973203005379098,-103.11988945436485
0.12311557788944727,-18.000217880949293,-104.22633771744664
0.128140703517588,-17.993562520929476,-104.73737104975103
0.1331658291457286,-17.948532793312605,-103.90157837539991
0.13819095477386933,-17.916247036129448,-103.10994103763413
0.14321608040201006,-17.942826354812187,-103.22149059589478
0.14824120603015079,-17.99539256375779,-103.9587059756839
0.1532663316582915,-17.986520200186625,-104.21479176877874
0.15829145728643212,-17.885982900041757,-103.56008443409068
0.16331658291457285,-17.791936919085373,-103.0674819367481
0.16834170854271358,-17.840995063183442,-103.49041947751756
0.1733668341708543,-17.983518198666577,-104.5159845750855
0.17839195979899503,-17.912119047024042,-104.30793678261905
0.18341708542713564,-17.204000935999897,-102.1648116212633
0.18844221105527637,-15.344787413509799,-99.95607673292034
0.1934673366834171,-11.312384059829618,-98.50811176607732
0.19849246231155782,0.0,0.0
0.20351758793969854,-5.843728423519632,-97.85143811733161
0.20854271356783916,-13.092801926535634,-98.50553000570414
0.21356783919597988,-16.168899135891387,-99.79712858491152
0.2185929648241206,-17.553061148106142,-101.59505488621349
0.22361809045226133,-17.98726699059648,-103.22001001450234
0.22864321608040206,-17.936726721655646,-103.61380931808472
0.23366834170854267,-17.799155734066616,-103.1610869568471
0.2386934673366834,-17.804354054615953,-103.0385326343135
0.24371859296482412,-17.91813598094114,-103.60638457102749
0.24874371859296485,-17.99783035321057,-104.37217794665304
0.25376884422110557,-17.988966425793397,-104.4424514629628
0.2587939698492463,-17.947979799245477,-103.9122686960838
0.2638190954773869,-17.944876625914368,-103.66547576462465
0.26884422110552764,-17.97979457310211,-104.02947367143945
0.27386934673366836,-18.00324403410811,-104.53641999525891
0.2788944723618091,-17.990361301468013,-104.41023487504387
0.2839195979899498,-17.966561516227337,-103.81965001657764
0.2889447236180904,-17.966701403504093,-103.58154040927965
0.29396984924623115,-17.989200357944625,-104.01462129656595
0.2989949748743719,-18.00360147427678,-104.70046116459734
0.3040201005025126,-17.99361945007131,-104.77338646445105
0.3090452261306533,-17.975792124318524,-104.21451943765781
0.31407035175879394,-17.974717598690486,-103.87700992653743
0.31909547738693467,-17.990923254652397,-104.17324666182425
0.3241206030150754,-18.00310002134769,-104.76393828696659
0.3291457286432161,-17.99773840071825,-104.8481932279561
0.33417085427135684,-17.985027468754694,-104.30688453442005
0.33919597989949746,-17.98314387056496,-103.8727752751891
0.3442211055276382,-17.994162129938786,-103.9497289788256
0.3492462311557789,-18.00325411645576,-104.30305423426998
0.35427135678391963,-17.999689783938376,-104.3961324446843
0.35929648241206036,-17.990126086704787,-104.1438535747078
0.364321608040201,-17.98824149323264,-104.0045340495991
0.3693467336683417,-17.99630695298197,-104.2213358115618
0.3743718592964824,-18.00331924793152,-104.50365117172134
0.37939698492462315,-18.000590156858337,-104.40613454386894
0.3844221105527639,-17.992793388873892,-104.06729486384341
0.3894472361809045,-17.990754251986843,-104.00207666951658
0.3944723618090452,-17.996930725131378,-104.36621381658667
0.39949748743718594,-18.00311207005264,-104.73476698673119
0.40452261306532666,-18.00220050230318,-104.56943832093627
0.4095477386934674,-17.997218790920712,-104.11639541910924
0.414572864321608,-17.996088079281613,-104.00946876899253
0.41959798994974873,-18.000375660072294,-104.40265029712826
0.42462311557788945,-18.003577059059896,-104.77559899637978
0.4296482412060302,-18.00059146207466,-104.4813585446853
0.4346733668341709,-17.994833920366084,-103.83726644292616
0.4396984924623115,-17.993555011917422,-103.58946021146154
0.44472361809045224,-17.99819396793882,-103.9626365612225
0.44974874371859297,-18.002895318286217,-104.53603482397054
0.4547738693467337,-18.00263404555681,-104.59141688939654
0.4597989949748744,-17.999448674768274,-104.16240274414906
0.46482412060301503,-17.998759219509207,-103.93765682650749
0.46984924623115576,-18.001558334084436,-104.19514100860818
0.4748743718592965,-18.003416669470532,-104.56401081780652
0.4798994974874372,-18.001207691995923,-104.5197023738566
0.48492462311557794,-17.997719227672263,-104.27723157499582
0.48994974874371866,-17.997738634864497,-104.49893003924481
0.4949748743718593,-18.001271624863328,-105.39538895617768
0.5,-18.003477966417645,-106.2000566536388
