x,p1,p2
-0.5,-18.00347796641765,-106.20005665347955
-0.4949748743718593,-18.00135483531189,-105.67992790421954
-0.4899497487437186,-17.99781591782976,-104.47702119597889
-0.4849246231155779,-17.997634081221907,-103.83104264352751
-0.4798994974874372,-18.00096916382062,-103.98461355230678
-0.4748743718592965,-18.003396373218127,-104.42221713803667
-0.46984924623115576,-18.002133667195935,-104.35535844375666
-0.4648241206030151,-17.999645279849116,-103.84771223095004
-0.45979899497487436,-17.999812206956395,-103.6463471139116
-0.4547738693467337,-18.002342342090092,-104.05188041124381
-0.44974874371859297,-18.003402440967047,-104.61646974466525
-0.44472361809045224,-18.00139333774904,-104.55431713812993
-0.4396984924623116,-17.999387673689572,-104.01025800397653
-0.43467336683417085,-18.000585220234274,-103.79965788519185
-0.4296482412060302,-18.00329754040383,-104.18132905353316
-0.42462311557788945,-18.002985980785837,-104.58445285710192
-0.41959798994974873,-17.998854646296362,-104.22265695556882
-0.41457286432160806,-17.995636168979086,-103.46844623971126
-0.40954773869346733,-17.99750138906125,-103.19692063194006
-0.40452261306532666,-18.002135003110947,-103.6433126790117
-0.39949748743718594,-18.003437988471855,-104.26206685033394
-0.3944723618090452,-17.999601807466735,-104.16925045230066
-0.3894472361809045,-17.99564986391456,-103.5790015601105
-0.3844221105527638,-17.99676745206093,-103.42408193685716
-0.37939698492462315,-18.00129009351801,-104.00762166638341
-0.3743718592964824,-18.00303677745919,-104.68688983050748
-0.3693467336683417,-17.999873364635206,-104.39928010016224
-0.364321608040201,-17.996659003886368,-103.55373057849636
-0.3592964824120603,-17.99834418593366,-103.2738452596226
-0.35427135678391963,-18.002698644443512,-103.85538856219239
-0.3492462311557789,-18.00312848245932,-104.59813634765497
-0.3442211055276382,-17.998049310196297,-104.32319533535674
-0.33919597989949746,-17.993720629357654,-103.46042679416614
-0.3341708542713568,-17.99597286761234,-103.23675939672239
-0.3291457286432161,-18.00176456804986,-103.97082502410225
-0.3241206030150754,-18.002702217367926,-104.80590816478413
-0.31909547738693467,-17.99642989701401,-104.27227632714204
-0.31407035175879394,-17.990437909537363,-103.08629297228437
-0.30904522613065327,-17.992434546160556,-102.70290094495651
-0.30402010050251255,-17.999736428560873,-103.43372971390409
-0.2989949748743719,-18.002524329674188,-104.43945164295778
-0.29396984924623115,-17.997136240676966,-104.07016457345853
-0.2889447236180904,-17.991333822806133,-102.9021461426722
-0.28391959798994976,-17.993755124539874,-102.5551148395971
-0.27889447236180903,-18.001381024859405,-103.42308775149431
-0.27386934673366836,-18.002873955628193,-104.5432206612469
-0.26884422110552764,-17.994237937199134,-103.92097421114269
-0.2638190954773869,-17.985496742165477,-102.47673686227392
-0.25879396984924624,-17.98806679884159,-102.07054240110308
-0.2537688442211055,-17.998691477757333,-103.08602390981923
-0.24874371859296485,-18.002612259462595,-104.4871725926744
-0.24371859296482412,-17.99319932819573,-103.78472572415895
