x,y,z
-3.0,-3.0,0.21637582778930664
-3.0,-2.969849246231156,0.2167041301727295
-3.0,-2.9396984924623117,0.21704578399658203
-3.0,-2.909547738693467,0.21740126609802246
-3.0,-2.879396984924623,0.21777033805847168
-3.0,-2.849246231155779,0.21815383434295654
-3.0,-2.819095477386935,0.2185516357421875
-3.0,-2.7889447236180906,0.21896421909332275
-3.0,-2.758793969849246,0.2193915843963623
-3.0,-2.728643216080402,0.21983397006988525
-3.0,-2.698492462311558,0.2202920913696289
-3.0,-2.6683417085427137,0.22076547145843506
-3.0,-2.6381909547738696,0.22125506401062012
-3.0,-2.608040201005025,0.22176063060760498
-3.0,-2.577889447236181,0.2222825288772583
-3.0,-2.5477386934673367,0.22282099723815918
-3.0,-2.5175879396984926,0.22337627410888672
-3.0,-2.4874371859296485,0.22394847869873047
-3.0,-2.457286432160804,0.22453796863555908
-3.0,-2.4271356783919598,0.2251451015472412
-3.0,-2.3969849246231156,0.22576940059661865
-3.0,-2.3668341708542715,0.22641193866729736
-3.0,-2.3366834170854274,0.2270721197128296
-3.0,-2.306532663316583,0.22775042057037354
-3.0,-2.2763819095477387,0.2284473180770874
-3.0,-2.2462311557788945,0.229162335395813
-3.0,-2.2160804020100504,0.22989583015441895
-3.0,-2.1859296482412063,0.23064804077148438
-3.0,-2.1557788944723617,0.23141908645629883
-3.0,-2.1256281407035176,0.2322087287902832
-3.0,-2.0954773869346734,0.2330172061920166
-3.0,-2.0653266331658293,0.23384475708007812
-3.0,-2.035175879396985,0.23469102382659912
-3.0,-2.0050251256281406,0.23555636405944824
-3.0,-1.9748743718592965,0.23644018173217773
-3.0,-1.9447236180904524,0.2373429536819458
-3.0,-1.914572864321608,0.23826444149017334
-3.0,-1.8844221105527639,0.23920440673828125
-3.0,-1.8542713567839197,0.24016273021697998
-3.0,-1.8241206030150754,0.24113917350769043
-3.0,-1.7939698492462313,0.2421337366104126
-3.0,-1.763819095477387,0.24314582347869873
-3.0,-1.7336683417085428,0.24417543411254883
-3.0,-1.7035175879396987,0.24522197246551514
-3.0,-1.6733668341708543,0.2462853193283081
-3.0,-1.6432160804020102,0.24736487865447998
