t,x
-1.0,0.0
-0.9987871437234688,0.0
-0.9975742874469375,0.0
-0.9963614311704063,0.0
-0.9951485748938751,0.0
-0.9939357186173439,0.0
-0.9927228623408126,0.0
-0.9915100060642814,0.0
-0.9902971497877502,0.0
-0.989084293511219,0.0
-0.9878714372346877,0.0
-0.9866585809581565,0.0
-0.9854457246816253,0.0
-0.984232868405094,0.0
-0.9830200121285627,0.0
-0.9818071558520315,0.0
-0.9805942995755003,0.0
-0.979381443298969,0.0
-0.9781685870224378,0.0
-0.9769557307459066,0.0
-0.9757428744693754,0.0
-0.9745300181928441,0.0
-0.9733171619163129,0.0
-0.9721043056397817,0.0
-0.9708914493632504,0.0
-0.9696785930867192,0.0
-0.968465736810188,0.0
-0.9672528805336568,0.0
-0.9660400242571255,0.0
-0.9648271679805943,0.0
-0.9636143117040631,0.0
-0.9624014554275319,0.0
-0.9611885991510006,0.0
-0.9599757428744694,0.0
-0.9587628865979382,0.0
-0.957550030321407,0.0
-0.9563371740448757,0.0
-0.9551243177683445,0.0
-0.9539114614918132,0.0
-0.9526986052152819,0.0
-0.9514857489387507,0.0
-0.9502728926622195,0.0
-0.9490600363856883,0.0
-0.947847180109157,0.0
-0.9466343238326258,0.0
-0.9454214675560946,0.0
-0.9442086112795633,0.0
-0.9429957550030321,0.0
-0.9417828987265009,0.0
-0.9405700424499697,0.0
-0.9393571861734384,0.0
-0.9381443298969072,0.0
-0.936931473620376,0.0
-0.9357186173438448,0.0
-0.9345057610673135,0.0
-0.9332929047907823,0.0
-0.9320800485142511,0.0
-0.9308671922377199,0.0
-0.9296543359611886,0.0
-0.9284414796846574,0.0
-0.9272286234081262,0.0
-0.926015767131595,0.0
-0.9248029108550637,0.0
-0.9235900545785325,0.0
-0.9223771983020013,0.0
-0.92116434202547,0.0
-0.9199514857489387,0.0
-0.9187386294724075,0.0
-0.9175257731958762,0.0
-0.916312916919345,0.0
-0.9151000606428138,0.0
-0.9138872043662826,0.0
-0.9126743480897513,0.0
-0.9114614918132201,0.0
-0.9102486355366889,0.0
-0.9090357792601577,0.0
-0.9078229229836264,0.0
-0.9066100667070952,0.0
-0.905397210430564,0.0
-0.9041843541540328,0.0
-0.9029714978775015,0.0
-0.9017586416009703,0.0
-0.9005457853244391,0.0
-0.8993329290479078,0.0
-0.8981200727713766,0.0
-0.8969072164948454,0.0
-0.8956943602183142,0.0
-0.8944815039417829,0.0
-0.8932686476652516,0.0
-0.8920557913887204,0.0
-0.8908429351121891,0.0
-0.8896300788356579,0.0
-0.8884172225591267,0.0
-0.8872043662825955,0.0
-0.8859915100060642,0.0
-0.884778653729533,0.0
-0.8835657974530018,0.0
-0.8823529411764706,0.0
-0.8811400848999393,0.0
-0.8799272286234081,0.0
-0.8787143723468769,0.0
-0.8775015160703457,0.0
-0.8762886597938144,0.0
-0.8750758035172832,0.0
-0.873862947240752,0.0
-0.8726500909642207,0.0
-0.8714372346876895,0.0
-0.8702243784111583,0.0
-0.8690115221346271,0.0
-0.8677986658580958,0.0
-0.8665858095815646,0.0
-0.8653729533050334,0.0
-0.8641600970285022,0.0
-0.8629472407519709,0.0
-0.8617343844754397,0.0
-0.8605215281989085,0.0
-0.8593086719223773,0.0
-0.858095815645846,0.0
-0.8568829593693148,0.0
-0.8556701030927835,0.0
-0.8544572468162522,0.0
-0.853244390539721,0.0
-0.8520315342631898,0.0
-0.8508186779866586,0.0
-0.8496058217101273,0.0
-0.8483929654335961,0.0
-0.8471801091570649,0.0
-0.8459672528805336,0.0
-0.8447543966040024,0.0
-0.8435415403274712,0.0
-0.84232868405094,0.0
-0.8411158277744087,0.0
-0.8399029714978775,0.0
-0.8386901152213463,0.0
-0.8374772589448151,0.0
-0.8362644026682838,0.0
-0.8350515463917526,0.0
-0.8338386901152214,0.0
-0.83262583383869,0.0
-0.8314129775621588,0.0
-0.8302001212856276,0.0
-0.8289872650090964,0.0
-0.8277744087325651,0.0
-0.8265615524560339,0.0
-0.8253486961795027,0.0
-0.8241358399029715,0.0
-0.8229229836264402,0.0
-0.821710127349909,0.0
-0.8204972710733778,0.0
-0.8192844147968465,0.0
-0.8180715585203153,0.0
-0.8168587022437841,0.0
-0.8156458459672529,0.0
-0.8144329896907216,0.0
-0.8132201334141904,0.0
-0.8120072771376592,0.0
-0.810794420861128,0.0
-0.8095815645845967,0.0
-0.8083687083080655,0.0
-0.8071558520315343,0.0
-0.805942995755003,0.0
-0.8047301394784718,0.0
-0.8035172832019406,0.0
-0.8023044269254094,0.0
-0.8010915706488781,0.0
-0.7998787143723469,0.0
-0.7986658580958157,0.0
-0.7974530018192845,0.0
-0.7962401455427532,0.0
-0.795027289266222,0.0
-0.7938144329896907,0.0
-0.7926015767131595,0.0
-0.7913887204366282,0.0
-0.790175864160097,0.0
-0.7889630078835658,0.0
-0.7877501516070345,0.0
-0.7865372953305033,0.0
-0.7853244390539721,0.0
-0.7841115827774409,0.0
-0.7828987265009096,0.0
-0.7816858702243784,0.0
-0.7804730139478472,0.0
-0.779260157671316,0.0
-0.7780473013947847,0.0
-0.7768344451182535,0.0
-0.7756215888417223,0.0
-0.774408732565191,0.0
-0.7731958762886598,0.0
-0.7719830200121286,0.0
